city,count
Agoura Hills,9
Alhambra,10
Arcadia,8
Artesia,null
Avalon,0
Azuza,1
Baldwin Park,0
Bell,5
Bell Gardens,1
Bellflower,12
Beverly Hills,21
Bradbury,0
Burbank,17
Calabasas,10
Carson,26
Cerritos,1
Claremont,1
Commerce,0
Compton,9
Covina,3
Cudahy,null
Culver City,7
Diamond Bar,2
Downey,18
Duarte,null
El Monte,0
El Segundo,null
Gardena,6
Glendale,36
Glendora,4
Hawaiian Gardens,null
Hawthorne,11
Hermosa Beach,null
Hidden Hills,0
Huntington Park,2
Industry,0
Inglewood,14
Irwindale,0
La Canada Flintridge,7
La Habra Heights,null
La Mirada,6
La Puente,2
La Verne,1
Lakewood,11
Lancaster,19
Lawndale,3
Lomita,null
Long Beach,75
Lynwood,13
Malibu,null
Manhattan Beach,23
Maywood,2
Monrovia,4
Montebello,3
Monterey Park,5
Norwalk,12
Palmdale,6
Palos Verdes Estates,14
Paramount,5
Pasadena,9
Pico Rivera,5
Pomona,4
Rancho Palos Verdes,8
Redondo Beach,24
Rolling Hills,0
Rolling Hills Estates,null
Rosemead,1
San Dimas,2
San Fernando,0
San Gabriel,6
San Marino,null
Santa Clarita,32
Santa Fe Springs,0
Santa Monica,38
Sierra Madre,0
Signal Hill,null
South El Monte,0
South Gate,11
South Pasadena,3
Temple City,1
Torrance,32
Vernon,0
Walnut,2
West Covina,5
West Hollywood,50
Westlake Village,0
Whittier,6
Adams-Normandie,null
Alsace,null
Angeles National Forest,0
Angelino Heights,0
Arleta,4
Atwater Village,null
Baldwin Hills,7
Bel Air,8
Beverly Crest,17
Beverlywood,10
Boyle Heights,8
Brentwood,31
Brookside,0
Cadillac-Corning,0
Canoga Park,3
Carthay,9
Central,3
Century City,8
Century Palms/Cove,5
Chatsworth,4
Cheviot Hills,null
Chinatown,0
Cloverdale/Cochran,null
Country Club Park,null
Crenshaw District,null
Crestview,9
Del Rey,10
Downtown,9
Eagle Rock,8
East Hollywood,5
Echo Park,null
El Sereno,1
Elysian Park,null
Elysian Valley,null
Encino,26
Exposition,0
Exposition Park,4
Faircrest Heights,0
Figueroa Park Square,0
Florence-Firestone,6
Glassell Park,7
Gramercy Place,null
Granada Hills,8
Green Meadows,null
Hancock Park,17
Harbor City,1
Harbor Gateway,4
Harbor Pines,0
Harvard Heights,null
Harvard Park,2
Highland Park,6
Historic Filipinotown,0
Hollywood,38
Hollywood Hills,23
Hyde Park,2
Jefferson Park,0
Koreatown,10
Lafayette Square,null
Lake Balboa,6
Lakeview Terrace,null
Leimert Park,null
Lincoln Heights,1
Little Armenia,0
Little Bangladesh,2
Little Tokyo,0
Longwood,0
Los Feliz,5
Manchester Square,null
Mandeville Canyon,null
Mar Vista,8
Marina Peninsula,null
Melrose,56
Mid-city,8
Miracle Mile,8
Mission Hills,5
Mt. Washington,null
North Hills,2
North Hollywood,26
Northridge,8
Pacific Palisades,11
Pacoima,3
Palisades Highlands,0
Palms,15
Panorama City,4
Park La Brea,null
Pico-Union,4
Playa Del Rey,null
Playa Vista,5
Porter Ranch,3
Rancho Park,null
Regent Square,0
Reseda,11
Reseda Ranch,null
Reynier Village,null
San Pedro,9
Shadow Hills,null
Sherman Oaks,25
Silverlake,14
South Carthay,5
South Park,4
St Elmo Village,0
Studio City,10
Sun Valley,5
Sunland,null
Sycamore Square,0
Sylmar,8
Tarzana,19
Temple-Beaudry,5
Thai Town,null
Toluca Lake,null
Toluca Terrace,0
Toluca Woods,0
Tujunga,2
University Hills,0
University Park,5
Valley Glen,3
Valley Village,14
Van Nuys,6
Venice,13
Vermont Knolls,null
Vermont Square,null
Vermont Vista,3
Vernon Central,3
Victoria Park,null
View Heights,0
Watts,1
Wellington Square,0
West Adams,7
West Hills,5
West Los Angeles,13
West Vernon,8
Westchester,12
Westlake,2
Westwood,17
Wholesale District,11
Wilmington,7
Wilshire Center,4
Winnetka,8
Woodland Hills,18
Acton,0
Canyon Country,null
East Whittier,null
La Rambla,null
Lennox,null
Marina del Rey,null
Stevenson Ranch,null
Valencia,null
Valinda,null
West LA,null
Wiseburn,null
Under Investigation,154
Altadena,10
East Los Angeles,8
Athens-Westmont,7
West Carson,6
South Whittier,5
Castaic,4
Hacienda Heights,2
Rowland Heights,1
Willowbrook,1
Agua Dulce,0
Anaverde,0
Athens Village,0
Avocado Heights,0
Azusa,0
Bassett,0
Bouquet Canyon,0
Covina (Charter Oak),0
Del Aire,0
Del Sur,0
Desert View Highlands,0
East Covina,0
East La Mirada,0
East Lancaster,0
East Pasadena,0
East Rancho Dominguez,0
El Camino Village,0
Elizabeth Lake,0
Hi Vista,0
Kagel/Lopez Canyons,0
La Crescenta-Montrose,0
Ladera Heights,0
Lake Hughes,0
Lake Los Angeles,0
Lake Manor,0
Leona Valley,0
Littlerock,0
Littlerock/Juniper Hills,0
Littlerock/Pearblossom,0
Llano,0
Newhall,0
North Lancaster,0
North Whittier,0
Northeast San Gabriel,0
Padua Hills,0
Palos Verdes Peninsula,0
Pearblossom/Llano,0
Pellissier Village,0
Placerita Canyon,0
Quartz Hill,0
Rancho Dominguez,0
Roosevelt,0
Rosewood,0
Rosewood/East Gardena,0
Rosewood/West Rancho Dominguez,0
San Jose Hills,0
San Pasqual,0
Sand Canyon,0
Santa Catalina Island,0
Santa Monica Mountains,0
Saugus,0
Saugus/Canyon Country,0
South Antelope Valley,0
South San Gabriel,0
Southeast Antelope Valley,0
Sun Village,0
Sunrise Village,0
Twin Lakes/Oat Mountain,0
Val Verde,0
View Park/Windsor Hills,0
Walnut Park,0
West Antelope Valley,0
West Puente Valley,0
West Rancho Dominguez,0
West Whittier/Los Nietos,0
Westfield/Academy Hills,0
Westhills,0
White Fence Farms,0
Total,1804
